Organization,Year,Language,Bytes
microsoft,2013,C,1196483
microsoft,2013,Shell,6870
microsoft,2013,Makefile,1118
microsoft,2013,Objective-C,709664
microsoft,2013,C,466833
microsoft,2013,Assembly,272130
microsoft,2013,C++,270394
microsoft,2013,Objective-C++,234433
microsoft,2013,Shell,10317
microsoft,2013,Makefile,3644
microsoft,2013,Swift,1736
microsoft,2013,Ruby,1359
microsoft,2013,Rich Text Format,352
microsoft,2014,C,48507
microsoft,2014,Shell,8274
microsoft,2014,Makefile,308
microsoft,2014,C#,1398994
microsoft,2014,Roff,871764
microsoft,2014,PowerShell,1413
microsoft,2014,Batchfile,878
microsoft,2014,PowerShell,3612170
microsoft,2014,Shell,2171396
microsoft,2014,Python,529062
microsoft,2014,C,33587
microsoft,2014,C++,5411
microsoft,2014,PHP,18652783
microsoft,2014,C++,993853
microsoft,2014,C,91595
microsoft,2014,Python,87133
microsoft,2014,TSQL,16012
microsoft,2014,M4,8463
microsoft,2014,Shell,7626
microsoft,2014,PowerShell,2717
microsoft,2014,HTML,31794
microsoft,2014,Ruby,48
microsoft,2014,TypeScript,132452327
microsoft,2014,JavaScript,182603
microsoft,2014,Shell,265
microsoft,2014,PHP,2467971
microsoft,2014,JavaScript,33224
microsoft,2014,CSS,29388
microsoft,2014,Mustache,9156
microsoft,2014,C++,5358489
microsoft,2014,C#,472891
microsoft,2014,PowerShell,13666
microsoft,2014,Batchfile,9970
microsoft,2014,C,2439
microsoft,2014,TypeScript,400203
microsoft,2014,JavaScript,64808
microsoft,2014,Shell,222
microsoft,2014,C#,409304
microsoft,2014,Batchfile,621
microsoft,2014,C++,3729761
microsoft,2014,CMake,49582
microsoft,2014,C,25033
microsoft,2014,HTML,16314
microsoft,2014,Shell,12413
microsoft,2014,JavaScript,12226
microsoft,2014,Makefile,6230
microsoft,2014,CSS,2830
microsoft,2014,C++,1000114
microsoft,2014,PowerShell,564083
microsoft,2014,C,13149
microsoft,2014,HTML,123397
microsoft,2014,C#,4199
microsoft,2014,PowerShell,1347
microsoft,2014,C#,94594
microsoft,2014,C#,181619676
microsoft,2014,Visual Basic .NET,2937748
microsoft,2014,JavaScript,704878
microsoft,2014,Perl,7373
microsoft,2014,Batchfile,1923
microsoft,2014,HTML,239
microsoft,2014,Python,4857
microsoft,2014,Shell,693
microsoft,2014,Java,2710200
microsoft,2014,C++,20176
microsoft,2014,C,1260
microsoft,2014,Kotlin,390
microsoft,2014,HTML,285
microsoft,2014,TypeScript,9932793
microsoft,2014,PowerShell,3020339
microsoft,2014,JavaScript,247245
microsoft,2014,C#,147764
microsoft,2014,HTML,96477
microsoft,2014,CSS,11340
microsoft,2014,TSQL,7822
microsoft,2014,Shell,5917
microsoft,2014,Java,4725
microsoft,2014,Python,3387
microsoft,2014,Batchfile,2997
microsoft,2014,Bicep,2414
microsoft,2014,C++,116656
microsoft,2014,C#,30933
microsoft,2014,C,677
microsoft,2014,Makefile,221
microsoft,2014,JavaScript,43442616
microsoft,2014,Python,181273
microsoft,2014,HTML,1017
microsoft,2015,PHP,516329
microsoft,2015,JavaScript,2442
microsoft,2015,CSS,1460
microsoft,2015,PHP,1436202
microsoft,2015,JavaScript,26171
microsoft,2015,CSS,6938
microsoft,2015,PHP,133772
microsoft,2015,CSS,481
microsoft,2015,PHP,90412
microsoft,2015,JavaScript,1593
microsoft,2015,PHP,99079
microsoft,2015,PHP,77823
microsoft,2015,PHP,14505
microsoft,2015,LLVM,110270100
microsoft,2015,C++,76210525
microsoft,2015,Assembly,40813213
microsoft,2015,Python,895335
microsoft,2015,C,837359
microsoft,2015,CMake,491367
microsoft,2015,OCaml,304968
microsoft,2015,Go,139356
microsoft,2015,Shell,95545
microsoft,2015,Perl,25354
microsoft,2015,HTML,20612
microsoft,2015,Vim Script,17437
microsoft,2015,CSS,12438
microsoft,2015,Emacs Lisp,10676
microsoft,2015,Objective-C,10226
microsoft,2015,Batchfile,7688
microsoft,2015,Dockerfile,5797
microsoft,2015,NASL,5724
microsoft,2015,Starlark,284
microsoft,2015,Swift,271
microsoft,2015,Roff,39
microsoft,2015,C++,63262429
microsoft,2015,C,20160001
microsoft,2015,Objective-C,4464044
microsoft,2015,HTML,1043438
microsoft,2015,Objective-C++,750809
microsoft,2015,Python,729470
microsoft,2015,Cuda,313061
microsoft,2015,CMake,152347
microsoft,2015,Perl,94919
microsoft,2015,JavaScript,42269
microsoft,2015,Assembly,41471
microsoft,2015,C#,27896
microsoft,2015,LLVM,23184
microsoft,2015,Emacs Lisp,16915
microsoft,2015,Roff,10844
microsoft,2015,Shell,9599
microsoft,2015,Mathematica,9412
microsoft,2015,Makefile,8489
microsoft,2015,CSS,8395
microsoft,2015,Fortran,8180
microsoft,2015,Cool,7083
microsoft,2015,M,4660
microsoft,2015,Dockerfile,2054
microsoft,2015,AppleScript,1429
microsoft,2015,RenderScript,741
microsoft,2015,SWIG,635
microsoft,2015,Rust,200
microsoft,2015,Batchfile,73
microsoft,2015,JavaScript,3056
microsoft,2015,C,23587083
microsoft,2015,C++,3444617
microsoft,2015,Assembly,139867
microsoft,2015,CMake,131034
microsoft,2015,Makefile,82306
microsoft,2015,Python,66568
microsoft,2015,Objective-C,30422
microsoft,2015,Shell,29604
microsoft,2015,Objective-C++,10133
microsoft,2015,HTML,6761
microsoft,2015,Batchfile,1334
microsoft,2015,CSS,1191
microsoft,2015,Logos,1137858439
microsoft,2015,RPC,434679476
microsoft,2015,C,40317556
microsoft,2015,C++,11714023
microsoft,2015,Awk,1747037
microsoft,2015,PostScript,786897
microsoft,2015,OpenEdge ABL,690534
microsoft,2015,Rich Text Format,570636
microsoft,2015,Makefile,312771
microsoft,2015,Shell,264766
microsoft,2015,Perl,260927
microsoft,2015,TeX,213162
microsoft,2015,Yacc,163440
microsoft,2015,Fortran,159469
microsoft,2015,HTML,114049
microsoft,2015,Emacs Lisp,93455
microsoft,2015,Lua,86606
microsoft,2015,Roff,63114
microsoft,2015,Objective-C,32938
microsoft,2015,JavaScript,31474
microsoft,2015,Python,31229
microsoft,2015,POV-Ray SDL,19471
microsoft,2015,M4,16186
microsoft,2015,QMake,15580
microsoft,2015,Tcl,8285
microsoft,2015,Limbo,6774
microsoft,2015,GAP,6167
microsoft,2015,Objective-C++,5204
microsoft,2015,LLVM,3301
microsoft,2015,NASL,2819
microsoft,2015,Scheme,2654
microsoft,2015,CSS,1882
microsoft,2015,Pascal,391
microsoft,2015,Pawn,250
microsoft,2015,Batchfile,176
microsoft,2015,Brainfuck,123
microsoft,2015,C#,319835
microsoft,2015,Batchfile,344
microsoft,2015,Java,33380
microsoft,2015,HTML,6897
microsoft,2015,JavaScript,64387
microsoft,2015,C#,532823
microsoft,2015,Batchfile,2184
microsoft,2015,Groovy,949
microsoft,2015,C#,504241
microsoft,2015,Batchfile,1665
microsoft,2015,C#,212002
microsoft,2015,Batchfile,1856
microsoft,2015,Java,375931
microsoft,2015,C,195813
microsoft,2015,C++,52409
microsoft,2015,Shell,29782
microsoft,2015,R,15542
microsoft,2015,PHP,9445
microsoft,2015,Makefile,8160
microsoft,2015,M4,7854
microsoft,2015,Batchfile,622
microsoft,2015,C++,2208344
microsoft,2015,Python,45078
microsoft,2015,C,24829
microsoft,2015,CMake,17141
microsoft,2015,C#,8766145
microsoft,2015,JavaScript,5047931
microsoft,2015,GLSL,1645166
microsoft,2015,TypeScript,174037
microsoft,2015,CSS,17850
microsoft,2015,Yacc,12071
microsoft,2015,Batchfile,11515
microsoft,2015,HTML,6724
microsoft,2015,Makefile,4798
microsoft,2015,Lex,3135
microsoft,2015,PowerShell,1324
microsoft,2015,Shell,552
microsoft,2015,Python,516
microsoft,2015,C#,260836
microsoft,2015,HTML,1858
microsoft,2015,Batchfile,18
microsoft,2015,C,10647926
microsoft,2015,C++,6262144
microsoft,2015,PowerShell,6314
microsoft,2015,JavaScript,7089888
microsoft,2015,HTML,813664
microsoft,2015,C++,789249
microsoft,2015,CSS,584338
microsoft,2015,C#,206095
microsoft,2015,Visual Basic .NET,178132
microsoft,2015,C,34297
microsoft,2015,PowerShell,12441
microsoft,2015,HLSL,6845
microsoft,2015,ASP.NET,5146
microsoft,2015,Batchfile,1657
microsoft,2015,C,28426058
microsoft,2015,C++,11444464
microsoft,2015,HTML,337473
microsoft,2015,ASL,50472
microsoft,2015,Roff,45880
microsoft,2015,PowerShell,28415
microsoft,2015,Batchfile,20275
microsoft,2015,Makefile,9383
microsoft,2015,PHP,998
microsoft,2015,BitBake,926
microsoft,2015,Visual Basic 6.0,162
microsoft,2015,C,17618600
microsoft,2015,C++,3018868
microsoft,2015,Verilog,1371172
microsoft,2015,C#,7019
microsoft,2015,Batchfile,5192
microsoft,2015,PHP,1939
microsoft,2015,Makefile,1898
microsoft,2015,Tcl,1636
microsoft,2015,Python,1316
microsoft,2015,MATLAB,733
microsoft,2015,NASL,252
microsoft,2015,C#,11903516
microsoft,2015,Python,637790
microsoft,2015,Rich Text Format,260880
microsoft,2015,HTML,213652
microsoft,2015,C++,182793
